symbol,name,market,industry
6166.TW,凌華,TW,電腦及週邊設備業
6168.TW,宏齊,TW,光電業
6176.TW,瑞儀,TW,光電業
6183.TW,關貿,TW,資訊服務業
6184.TW,大豐電,TW,其他
6189.TW,豐藝,TW,電子通路業
6191.TW,精成科,TW,電子零組件業
6192.TW,巨路,TW,其他電子業
6196.TW,帆宣,TW,其他電子業
6197.TW,佳必琪,TW,電子零組件業
6201.TW,亞弘電,TW,其他電子業
6202.TW,盛群,TW,半導體業
6205.TW,詮欣,TW,電子零組件業
6206.TW,飛捷,TW,電腦及週邊設備業
6209.TW,今國光,TW,光電業
6213.TW,聯茂,TW,電子零組件業
6214.TW,精誠,TW,資訊服務業
6215.TW,和椿,TW,其他電子業
6216.TW,居易,TW,通信網路業
6224.TW,聚鼎,TW,電子零組件業
6225.TW,天瀚,TW,光電業
6226.TW,光鼎,TW,光電業
6230.TW,尼得科超眾,TW,電腦及週邊設備業
6235.TW,華孚,TW,電腦及週邊設備業
6239.TW,力成,TW,半導體業
6243.TW,迅杰,TW,半導體業
6257.TW,矽格,TW,半導體業
6269.TW,台郡,TW,電子零組件業
6271.TW,同欣電,TW,半導體業
6272.TW,驊陞,TW,電子零組件業
6277.TW,宏正,TW,電腦及週邊設備業
6278.TW,台表科,TW,光電業
6281.TW,全國電,TW,電子通路業
6282.TW,康舒,TW,電子零組件業
6283.TW,淳安,TW,其他電子業
6285.TW,啟碁,TW,通信網路業
6405.TW,悅城,TW,光電業
6409.TW,旭隼,TW,其他電子業
6412.TW,群電,TW,電子零組件業
6414.TW,樺漢,TW,電腦及週邊設備業
6415.TW,矽力*-KY,TW,半導體業
6416.TW,瑞祺電通,TW,通信網路業
6426.TW,統新,TW,通信網路業
6438.TW,迅得,TW,其他電子業
6442.TW,光聖,TW,通信網路業
6443.TW,元晶,TW,光電業
6449.TW,鈺邦,TW,電子零組件業
6451.TW,訊芯-KY,TW,半導體業
6456.TW,GIS-KY,TW,光電業
6464.TW,台數科,TW,其他
6477.TW,安集,TW,光電業
6504.TW,南六,TW,其他
6505.TW,台塑化,TW,油電燃氣業
6515.TW,穎崴,TW,半導體業
6525.TW,捷敏-KY,TW,半導體業
6526.TW,達發,TW,半導體業
6531.TW,愛普*,TW,半導體業
6533.TW,晶心科,TW,半導體業
6552.TW,易華電,TW,半導體業
6558.TW,興能高,TW,其他電子業
6573.TW,虹揚-KY,TW,半導體業
6579.TW,研揚,TW,電腦及週邊設備業
6585.TW,鼎基,TW,其他
6591.TW,動力-KY,TW,電腦及週邊設備業
6592.TW,和潤企業,TW,其他
6605.TW,帝寶,TW,汽車工業
6606.TW,建德工業,TW,電機機械
6614.TW,資拓宏宇,TW,數位雲端
6625.TW,必應,TW,其他
6655.TW,科定,TW,其他
6658.TW,聯策,TW,其他電子業
6668.TW,中揚光,TW,光電業
6669.TW,緯穎,TW,電腦及週邊設備業
6672.TW,騰輝電子-KY,TW,電子零組件業
6674.TW,鋐寶科技,TW,通信網路業
6689.TW,伊雲谷,TW,數位雲端
6691.TW,洋基工程,TW,其他電子業
6695.TW,芯鼎,TW,半導體業
6698.TW,旭暉應材,TW,其他電子業
6706.TW,惠特,TW,光電業
6715.TW,嘉基,TW,電子零組件業
6719.TW,力智,TW,半導體業
6722.TW,輝創,TW,其他電子業
6742.TW,澤米,TW,光電業
6743.TW,安普新,TW,其他電子業
6753.TW,龍德造船,TW,航運業
6756.TW,威鋒電子,TW,半導體業
6757.TW,台灣虎航,TW,航運業
6770.TW,力積電,TW,半導體業
6776.TW,展碁國際,TW,電子通路業
6781.TW,AES-KY,TW,電子零組件業
6789.TW,采鈺,TW,半導體業
6790.TW,永豐實,TW,造紙工業
6792.TW,詠業,TW,通信網路業
6799.TW,來頡,TW,半導體業
6805.TW,富世達,TW,電子零組件業
6830.TW,汎銓,TW,其他電子業
6831.TW,邁科,TW,電腦及週邊設備業
6834.TW,天二科技,TW,電子零組件業
6835.TW,圓裕,TW,電子零組件業
6854.TW,錼創科技-KY創,TW,半導體業
6862.TW,三集瑞-KY,TW,電子零組件業
6863.TW,永道-KY,TW,通信網路業
6901.TW,鑽石投資,TW,其他
